reference,read_count
P0ABQ4_folA_msa-trans-mcmc_v2~cp3,1
2792594149,1
A0A2M7HBE9|UNREVIEWED|DIHYDROFOLATE,1
A0A3S8ZS10|UNREVIEWED|DIHYDROFOLATE,1
A0A7I7VAK0|UNREVIEWED|DIHYDROFOLATE,1
A0A3S0VSU3|UNREVIEWED|DIHYDROFOLATE,1
A0A0S9RCC3_9ACTN,1
A0A0R1WKV1|UNREVIEWED|DIHYDROFOLATE,1
2619622396,1
E3DLF6_HALPG,1
A0A098G1C6_9GAMM,1
A0A838UMJ0|UNREVIEWED|DIHYDROFOLATE,1
A0A3G9JY02_9ACTN,1
A0A4Q5W0P2|UNREVIEWED|DIHYDROFOLATE,1
A0A1F6DFP6|UNREVIEWED|DIHYDROFOLATE,1
K7YHD9|UNREVIEWED|DIHYDROFOLATE,1
A0A285VU84|UNREVIEWED|DIHYDROFOLATE,1
A0A4Q5S623|UNREVIEWED|DIHYDROFOLATE,1
2587060440,1
2889571179,1
B8EQ73_METSB,1
A0A892P3M5|UNREVIEWED|DIHYDROFOLATE,1
A0A2D6UF77|UNREVIEWED|DIHYDROFOLATE,1
A0A533SBT9|UNREVIEWED|DIHYDROFOLATE,1
A0A1V2M8X0_9FIRM,1
E4PYV0|UNREVIEWED|DIHYDROFOLATE,1
A0A8A3BTN3|UNREVIEWED|DIHYDROFOLATE,1
A0A059X079|UNREVIEWED|DIHYDROFOLATE,1
2885654603,1
A0A0H4IN99_9CAUD,1
R5U0R4|UNREVIEWED|DIHYDROFOLATE,1
A0A2A7EEH2|UNREVIEWED|DIHYDROFOLATE,1
A0A521CSP7_9BACT,1
A0A7X8F118|UNREVIEWED|DIHYDROFOLATE,1
A0A4U1BU58_9SPHI,1
A0A1L8N1H8|UNREVIEWED|DIHYDROFOLATE,1
A0A661ZY56|UNREVIEWED|DIHYDROFOLATE,1
A0A059X627|UNREVIEWED|DIHYDROFOLATE,1
G2Z5E0_FLABF,1
A0A7T9CSF4|UNREVIEWED|DIHYDROFOLATE,1
A0A4D6Y486|UNREVIEWED|DIHYDROFOLATE,1
U2QJQ9_9FIRM,1
A4BS77_9GAMM,1
A0A1G5N662_AFIMA,1
A0A2E7VLV3|UNREVIEWED|DIHYDROFOLATE,1
2840179792,1
2806754294,1
A0A3D5KZN9|UNREVIEWED|DIHYDROFOLATE,1
A0A7C3HY51|UNREVIEWED|DIHYDROFOLATE,1
2794497522,1
A0A8C6WUQ6|UNREVIEWED|DIHYDROFOLATE,1
A0A498DTR3_9BACI,1
A0A059WSW6|UNREVIEWED|DIHYDROFOLATE,1
I2BFU6_9VIRU,1
A0A4Q3MRD9|UNREVIEWED|DIHYDROFOLATE,1
2705622793,1
A0A7Y9WVV6|UNREVIEWED|DIHYDROFOLATE,1
A0A4P7QGT3_9CORY,1
A0A1J5M339|UNREVIEWED|DIHYDROFOLATE,1
2806882669,1
A0A385N075|UNREVIEWED|DIHYDROFOLATE,1
A0A4V1R0Z2_9BACL,1
A0A0T5P0M7_9RHOB,1
A0A3B7A4K4_9RHOO,1
A0A482ZQQ6|UNREVIEWED|DIHYDROFOLATE,1
2528302369,1
2518432773,1
O33976~cp4,1
2574470934,1
A0A7R9NXW7|UNREVIEWED|DIHYDROFOLATE,1
A0A7X8B6B6|UNREVIEWED|DIHYDROFOLATE,1
M4VA21_9PROT,1
2830731414,1
A0A4R7J980_9ACTN,1
2865726785,1
2838258589,1
A0A7X9HGL9|UNREVIEWED|DIHYDROFOLATE,1
2820762306,1
2832105438,1
G5ZWT4_9PROT,1
A0A1B9NB89_9MICO,1
A0A1F6C8Z9|UNREVIEWED|DIHYDROFOLATE,1
2910267630,1
2543272107,1
A0A1H7PWF3_9PROT,1
2741289265,1
2828520841,1
A0A6I2GJC3_9LACT,1
P0ABQ4_P21L.L28R~cp1,1
2800503951,1
2517467349,1
A0A239EXI3_9BACT,1
A0A1E4KTB1|UNREVIEWED|DIHYDROFOLATE,1
A0A2E3N3T6|UNREVIEWED|DIHYDROFOLATE,1
2839420109,1
A0A2M8GND6|UNREVIEWED|DIHYDROFOLATE,1
A0A7Y7NMP8|UNREVIEWED|DIHYDROFOLATE,1
A0A258YQP0|UNREVIEWED|DIHYDROFOLATE,1
A0A075DX51_9CAUD,1
A0A2R6E3K1|UNREVIEWED|DIHYDROFOLATE,1
A0A0A2T5N7_9BACI,1
A0A522S6B4|UNREVIEWED|DIHYDROFOLATE,1
2658416213,1
A0A0G0L800|UNREVIEWED|DIHYDROFOLATE,1
V4XRV8_9ARCH,1
A0A3R8T469_9GAMM,1
A0A2R4XKR4_9BURK,1
A0A4Q9GMG2_9RHIZ,1
A0A7Y5KUQ0|UNREVIEWED|DIHYDROFOLATE,1
A0A059X9D9|UNREVIEWED|DIHYDROFOLATE,1
2820034610,1
A0A354UDB9|UNREVIEWED|DIHYDROFOLATE,1
A0A8I2JQ55|UNREVIEWED|DIHYDROFOLATE,1
A0A258XCW3|UNREVIEWED|DIHYDROFOLATE,1
2829167554,1
A0A6I3RCB7_9FIRM,1
A0A1F7L1R0|UNREVIEWED|DIHYDROFOLATE,1
A0A351MR94|UNREVIEWED|DIHYDROFOLATE,1
A0A1I1DMP3_9FIRM,1
2901151058,1
C4Z3U6_LACE2,1
A0A2M9EAY3_9GAMM,1
A0A7T2Y9M3|UNREVIEWED|DIHYDROFOLATE,1
A0A516V820_9GAMM,1
A0A8B8SN49|UNREVIEWED|DIHYDROFOLATE,1
A0A1G2VA85|UNREVIEWED|DIHYDROFOLATE,1
A0A059WXT0|UNREVIEWED|DIHYDROFOLATE,1
A0A2A5X700|UNREVIEWED|DIHYDROFOLATE,1
A0A1V0DEU0_9BACT,1
A0A085W5V9_9DELT,1
A0A3M8FQ37_9BACT,1
A0A7C5R2S4|UNREVIEWED|DIHYDROFOLATE,1
2523921114,1
A0A348P4N3|UNREVIEWED|DIHYDROFOLATE,1
P0ABQ4_T68N~cp1,1
A0A4V0YHT0|UNREVIEWED|DIHYDROFOLATE,1
A0A1Y6D0B5_9GAMM,1
A0A3R7B2U7|UNREVIEWED|DIHYDROFOLATE,1
A0A135HUH5_9RHIZ,1
A0A840RDS7|UNREVIEWED|DIHYDROFOLATE,1
A0A838TUH0|UNREVIEWED|DIHYDROFOLATE,1
R7KCD1_9FIRM,1
2706151501,1
2883127433,1
A0A7V8AZL2|UNREVIEWED|DIHYDROFOLATE,1
2752750474,1
2928943668,1
A0A679IJ38|UNREVIEWED|DIHYDROFOLATE,1
A0A0K1FCR7|UNREVIEWED|DIHYDROFOLATE,1
2799843061,1
A0A1H7SM66_9GAMM,1
A5MZB6_CLOK5,1
A0A0L8F2A2_9CLOT,1
2517376310,1
A0A3S9H0S4_9FIRM,1
2912028459,1
2741293172,1
A0A518G8K1_9BACT,1
A0A0Q4FX22_9SPHN,1
A0A495QIU1|UNREVIEWED|DIHYDROFOLATE,1
A0A1G2I310|UNREVIEWED|DIHYDROFOLATE,1
A0A059WWH9|UNREVIEWED|DIHYDROFOLATE,1
A0A2E2I5A3|UNREVIEWED|DIHYDROFOLATE,1
A0A4D6Y685|UNREVIEWED|DIHYDROFOLATE,1
A0A2T2UCM1|UNREVIEWED|DIHYDROFOLATE,1
A0A2D5B8X3|UNREVIEWED|DIHYDROFOLATE,1
A0A059XBX8|UNREVIEWED|DIHYDROFOLATE,1
A0A537DHQ9|UNREVIEWED|DIHYDROFOLATE,1
A0A1W1YBU0_9BURK,1
A0A1R3W7R0_9GAMM,1
A0A2H0S8V5|UNREVIEWED|DIHYDROFOLATE,1
2820430052,1
2558208634,1
A0A848U2V5|UNREVIEWED|DIHYDROFOLATE,1
K6E865_9BACI,1
2928328479,1
A0A1Z8B909|UNREVIEWED|DIHYDROFOLATE,1
A0A1L5KXD8|UNREVIEWED|DIHYDROFOLATE,1
A0A3D6EU16|UNREVIEWED|DIHYDROFOLATE,1
2927152068,1
A0A2G4H0T7|UNREVIEWED|DIHYDROFOLATE,1
A0A059WVP7|UNREVIEWED|DIHYDROFOLATE,1
2890367083,1
